"package name","methods","meth extr both","meth extr heurist","meth extr tit","exec time heurist ms","exec time tit ms"
"NewTools-RewriterTools-Tests","58","45","0","1","12","105000"
"AI-Algorithms-Graph","184","58","101","18","133","26000"
"Morphic-Widgets-Basic","495","231","289","10","313","105000"
"BaselineOfFuzzyMatcher","1","1","0","0","0","1000"
"Shout-UI","28","13","0","4","4","10000"
"Metacello-TestsReference","7","3","1","4","5","4000"
"InfererBrowser","108","35","11","33","26","33000"
"BaselineOfSystemCommands","1","1","0","0","2","1000"
"Morphic-Widgets-Scrolling","429","145","237","1","296","34000"
"System-SessionManager-Tests","47","4","41","0","11","11000"
"Calypso-SystemPlugins-Monticello-Browser","34","16","15","8","11","32000"
"Debugging-Core","116","42","15","8","42","7000"
"BaselineOfSpec2","5","1","3","0","2","2000"
"Spec2-Tests","715","662","5","40","501","181000"
"Manifest-Tests","36","6","30","0","18","3000"
"ScriptingExtensions","4","0","0","0","0","4000"
"System-Benchmark","20","5","1","6","7","0"
"Metacello-Gitlab","3","2","0","0","0","3000"
"StartupPreferences","61","34","1","24","15","8000"
"Jobs","66","32","2","21","14","7000"
"Collections-Abstract-Tests","599","818","44","396","478","590000"
"BaselineOfZodiac","1","1","0","0","1","1000"
"Collections-Sequenceable-Tests","688","944","269","99","453","122000"
"Regex-Core","300","132","13","64","189","58000"
"BaselineOfAthens","3","3","0","0","1","1000"
"Kernel","1775","902","620","146","1077","334000"
"Metacello-GitHub","18","5","8","0","2","4000"
"Calypso-SystemQueries-Tests-P2WithSubclassFromP1","0","0","0","0","0","12000"
"EmergencyDebugger-Tests","86","7","75","4","32","0"
"FreeType-Tests","32","0","32","0","23","9000"
"BaselineOfSindarin","2","0","2","0","0","1000"
"Calypso-SystemPlugins-Reflectivity-Queries-Tests","52","45","0","7","7","9000"
"Spec2-Code-Backend-Tests","10","8","1","2","2","2000"
"Roassal-Inspector-Tests","5","5","0","0","1","3000"
"Collections-Atomic-Tests","22","5","16","1","17","5000"
"NautilusRefactoring","40","12","2","16","8","14000"
"Ombu-Tests","70","53","4","12","34","18000"
"NewTools-WindowManager-Tests","8","8","0","0","1","1000"
"NewTools-Finder","479","133","241","25","240","188000"
"EnlumineurFormatter","342","129","204","14","185","17000"
"LLM-Spec","20","10","0","7","5","33000"
"Calypso-SystemPlugins-SUnit-Queries","78","43","2","24","19","24000"
"NewTools-RewriterTools","170","98","9","60","58","155000"
"Roassal-UML","140","57","2","69","35","29000"
"NewTools-SettingsBrowser","247","80","111","9","140","113000"
"LLM-API-Example","2","0","1","0","0","1000"
"ClassAnnotation-Tests","92","84","2","5","31","36000"
"Refactoring-UI-Tests","72","62","2","4","28","28000"
"Keymapping-Tests","65","36","5","13","49","19000"
"DrTests-TestCoverage-Tests","14","14","0","0","3","3000"
"Roassal-Colors","327","12","3","7","160","21000"
"BaselineOfLLMAPI","4","0","4","0","2","1000"
"FuzzyMatcher","23","6","12","2","4","4000"
"Calypso-Browser","988","348","505","56","511","232000"
"Zodiac-Tests","64","14","32","18","41","22000"
"SUnit-Core","571","245","67","199","303","96000"
"BaselineOfClap","1","1","0","0","0","1000"
"ThreadedFFI","406","123","164","10","187","91000"
"System-Platforms-Tests","19","10","1","9","4","6000"
"Roassal-DSM","82","38","34","1","17","8000"
"OpalCompiler-UI","16","5","9","0","4","2000"
"Calypso-SystemPlugins-Undeclared-Queries-Tests","11","8","1","2","3","4000"
"Text-Tests","85","2","83","0","93","17000"
"Commander2","114","177","44","8","20","102000"
"MetacelloCommandLineHandler-Core","22","7","10","2","3","4000"
"ReleaseTests","104","9","94","2","100","19000"
"Transcript-NonInteractive-Tests","4","4","0","0","0","1000"
"Athens-Core-Tests","20","17","1","3","17","4000"
"Calypso-SystemPlugins-FileOut-Queries","4","0","0","2","0","2000"
"Commander2-UI-Tests","10","9","0","1","1","0"
"Metacello-FileTree","3","0","1","0","0","0"
"Calypso-SystemPlugins-FFI-Queries","6","5","2","0","0","3000"
"Iceberg-TipUI","1956","842","925","128","958","1582000"
"Collections-Weak","51","16","22","2","22","16000"
"BaselineOfFlashback","1","0","1","0","0","1000"
"Refactoring-Transformations-Tests","789","656","39","87","776","294000"
"STON-Text support","6","0","4","0","0","0"
"System-OSEnvironments-Tests","12","1","11","0","4","2000"
"Athens-Balloon","137","77","1","35","52","32000"
"BaselineOfRoassalLayouts","1","0","1","0","0","2000"
"Zinc-Resource-Meta-Tests","80","79","1","3","52","10000"
"Calypso-SystemPlugins-Critic-Browser","95","23","53","15","13","36000"
"Roassal-Interaction","523","217","307","26","348","125000"
"JenkinsTools-Core","71","15","37","8","23","14000"
"BaselineOfSpecCore","3","1","2","0","2","1000"
"NumberParser-Tests","35","0","14","20","23","5000"
"Coverage","46","19","20","0","7","9000"
"NewTools-Debugger-Extensions","12","0","3","0","1","24000"
"System-NumberPrinting","50","0","0","18","9","0"
"System-Support-Tests","79","4","59","14","31","0"
"Microdown-RichTextPresenter","48","29","3","6","7","28000"
"Metacello-GitBasedRepository","78","31","30","2","17","13000"
"Iceberg-Plugin","28","17","1","3","2","31000"
"Tool-Registry","33","17","1","6","5","11000"
"BaselineOfAIGraphAlgorithms","1","1","0","0","0","1000"
"Spec2-Backend-Tests","444","401","5","102","207","173000"
"BaselineOfKernelTests","1","0","1","0","0","1000"
"System-Finalization-Tests","13","2","11","2","1","4000"
"Ring-Definitions-Core","472","167","217","50","178","73000"
"System-FileRegistry","34","12","12","3","4","10000"
"NewTools-Spotter-Processors","340","161","22","90","117","165000"
"Spec2-Commander2-Tests","30","29","0","1","11","8000"
"System-CommandLine","116","10","18","77","15","21000"
"TypeInfoTools-Core","399","142","16","262","176","199000"
"ThreadedFFI-UFFI-Tests","244","58","134","6","110","68000"
